strategy,seed,budget_step,best_external_utility
surrogate,0,7,1.1566179485359294
surrogate,0,8,1.1566179485359294
surrogate,0,9,1.1566179485359294
surrogate,0,10,1.4028874252525758
surrogate,0,11,1.4028874252525758
surrogate,0,12,1.6499498810742124
surrogate,1,1,-1.5
surrogate,1,2,-1.2
surrogate,1,3,-1.2
surrogate,1,4,-1.2
surrogate,1,5,-1.2
surrogate,1,6,-1.2
surrogate,1,7,-1.2
surrogate,1,8,1.5628007673764523
surrogate,1,9,1.5628007673764523
surrogate,1,10,1.5628007673764523
surrogate,1,11,1.5628007673764523
surrogate,1,12,1.5628007673764523
surrogate,2,1,-2.0
surrogate,2,2,-1.5
surrogate,2,3,1.2799373643421719
surrogate,2,4,1.2799373643421719
surrogate,2,5,1.2799373643421719
surrogate,2,6,1.7387755876279358
surrogate,2,7,1.7387755876279358
surrogate,2,8,1.7387755876279358
surrogate,2,9,1.7387755876279358
surrogate,2,10,1.7387755876279358
surrogate,2,11,1.7387755876279358
surrogate,2,12,1.7387755876279358
surrogate,3,1,1.269776988792657
surrogate,3,2,1.269776988792657
surrogate,3,3,1.269776988792657
surrogate,3,4,1.269776988792657
surrogate,3,5,1.269776988792657
surrogate,3,6,1.269776988792657
surrogate,3,7,1.479727586344292
surrogate,3,8,1.479727586344292
surrogate,3,9,1.479727586344292
surrogate,3,10,1.479727586344292
surrogate,3,11,1.479727586344292
surrogate,3,12,1.479727586344292
surrogate,4,1,-2.0
surrogate,4,2,-1.5
surrogate,4,3,-1.5
surrogate,4,4,1.5128488679051608
surrogate,4,5,1.5128488679051608
surrogate,4,6,1.7079525292214455
surrogate,4,7,1.7079525292214455
surrogate,4,8,1.7079525292214455
surrogate,4,9,1.7079525292214455
surrogate,4,10,1.7079525292214455
surrogate,4,11,1.7079525292214455
surrogate,4,12,1.7079525292214455
surrogate,5,1,-2.0
surrogate,5,2,-1.2
surrogate,5,3,-1.2
surrogate,5,4,-1.2
surrogate,5,5,-1.2
surrogate,5,6,1.417743668971037
surrogate,5,7,1.417743668971037
surrogate,5,8,1.417743668971037
surrogate,5,9,1.417743668971037
surrogate,5,10,1.417743668971037
surrogate,5,11,1.417743668971037
surrogate,5,12,1.417743668971037
surrogate,6,1,-2.0
surrogate,6,2,-2.0
surrogate,6,3,-1.5
surrogate,6,4,-1.5
surrogate,6,5,-1.2
surrogate,6,6,-1.2
surrogate,6,7,-1.2
surrogate,6,8,1.4161868207419477
surrogate,6,9,1.4161868207419477
surrogate,6,10,1.4161868207419477
surrogate,6,11,1.4161868207419477
surrogate,6,12,1.4161868207419477
surrogate,7,1,-2.0
surrogate,7,2,-2.0
surrogate,7,3,-2.0
surrogate,7,4,-2.0
surrogate,7,5,-1.5
surrogate,7,6,1.4794180173877822
surrogate,7,7,1.4794180173877822
surrogate,7,8,1.4794180173877822
surrogate,7,9,1.5383242103569421
surrogate,7,10,1.5383242103569421
surrogate,7,11,1.5383242103569421
surrogate,7,12,1.5383242103569421
surrogate,8,1,-2.0
surrogate,8,2,1.5907584395213052
surrogate,8,3,1.5907584395213052
surrogate,8,4,1.5907584395213052
surrogate,8,5,1.5907584395213052
surrogate,8,6,1.5907584395213052
surrogate,8,7,1.5907584395213052
surrogate,8,8,1.5907584395213052
surrogate,8,9,1.5907584395213052
surrogate,8,10,1.5907584395213052
surrogate,8,11,1.5907584395213052
surrogate,8,12,1.5907584395213052
surrogate,9,1,-2.0
surrogate,9,2,-2.0
surrogate,9,3,-2.0
surrogate,9,4,-2.0
surrogate,9,5,-2.0
surrogate,9,6,-2.0
surrogate,9,7,-2.0
surrogate,9,8,1.4888155874786575
surrogate,9,9,1.4888155874786575
surrogate,9,10,1.4888155874786575
surrogate,9,11,1.4888155874786575
surrogate,9,12,1.4888155874786575
uniform_random,0,1,-1.5
uniform_random,0,2,-1.2
uniform_random,0,3,-1.2
uniform_random,0,4,-1.2
uniform_random,0,5,-1.2
uniform_random,0,6,1.1566179485359294
uniform_random,0,7,1.3486256647948418
uniform_random,0,8,1.3486256647948418
uniform_random,0,9,1.3486256647948418
uniform_random,0,10,1.3486256647948418
uniform_random,0,11,1.3486256647948418
uniform_random,0,12,1.3486256647948418
uniform_random,1,1,-1.5
uniform_random,1,2,-1.2
